id;Nome da escola
37;ARCANGELO SFORCIM
38;JARDIM DAS CAMELIAS
39;JOSE DE SAN MARTIN
40;JULIO DE CARVALHO BARATA
41;PAULO ROBERTO FAGGIONI PROFESSOR
42;RAUL PILLA DEPUTADO
43;TIDE SETUBAL
44;NILDO DO AMARAL JUNIOR PADRE
45;NELLO LORENZON
46;SILVA PRADO DEPUTADO
47;THEREZA DOROTHEA DE ARRUDA REGO PROFESSORA
48;ANNETTE MARLENE FERNANDES DE MELLO IRMA
49;BENEDITA DE REZENDE PROFESSORA
50;ERMELINO MATARAZZO
51;FRANCISCO MESQUITA JORNALISTA
52;LEONOR RENDESI PROFESSORA
53;PARQUE ECOLOGICO
54;PEDRO DE ALCANTARA MARCONDES MACHADO PROFESSOR
55;THEREZINHA ARANHA MANTELLI
56;AMADOR DOS SANTOS FERNANDES PROF
57;CLEISE MARISA SIQUEIRA PROFA
58;EUNICE MARQUES MOURA BASTOS PROFA
59;LUIS AMBRA DESEMBARGADOR
60;MARCELO TULMAN NETO
61;MARIA REGINA MACHADO DE CASTRO GUIMARAES PROFA
62;MARIA VERA LOMBARDI SIQUEIRA PROFA
63;PEDRO VIRIATO PARIGOT DE SOUZA ENGENHEIRO
64;SHINQUICHI AGARI
65;ARLINDO PINTO DA SILVA PROF
66;ASTROGILDO ARRUDA PROF
67;ATAULPHO ALVES
68;CARLOS GOMES
69;DARIO DE QUEIROZ PROF
70;JARDIM BEATRIZ
71;JOSE RIGHETTO SOBRINHO PROF
72;MANOEL DE NOBREGA DEPUTADO
73;PAULO KOBAYASHI
74;PEDRO MOREIRA MATOS PROF
75;CAETANO ZAMITTI MAMMANA PROF
76;FRANCISCO PEREIRA DE SOUZA FILHO PROF
77;HECKEL TAVARES
78;HENRIQUE SMITH BAYMA DR
79;JOSE BONIFACIO ANDRADA E SILVA JARDIM PROF
80;MARIA DE LOURDES VIEIRA
81;MARIO KOZEL FILHO
82;MATTATHIAS GOMES DOS SANTOS REV
83;ARMANDO GOMES DE ARAUJO PROF
84;BERNARDO O'HIGGINS DOM
85;CELIA RIBEIRO LANDIM PROFA
86;CHARLES DE GAULLE
87;EDER BERNARDES DOS SANTOS SOLDADO PM
88;FRANCISCO PARENTE
89;JOAO BATISTA VILANOVA ARTIGAS PROF
90;JOAO DORIA DEPUTADO
91;JOAO PRADO MARGARIDO PROF
92;JOSE BUSTAMANTE DEPUTADO
93;LIVIO XAVIER
94;NEYDY DE CAMPOS MELGES PROF
95;PAULINA MADRE
96;PEDRO BRASIL BANDECCHI PROF
97;REPUBLICA DA GUATEMALA
98;REPUBLICA DO SURINAME
99;SERGIO PAULO MUNIZ PIMENTA CAPITAO
100;UMBERTO LUIZ D URSO DR
101;WILSON RACHID
