id;Nome da escola;lat;lng
37;ARCANGELO SFORCIM;-23.4938177;-46.4647475
38;JARDIM DAS CAMELIAS;-23.51105416028;-46.4587437926598
39;JOSE DE SAN MARTIN;-23.49175996491729;-46.455349794026176
40;JULIO DE CARVALHO BARATA;-23.5116631990365;-46.473099229361
41;PAULO ROBERTO FAGGIONI PROFESSOR;-23.517699684175806;-46.46992948703314
42;RAUL PILLA DEPUTADO;-23.4942965;-46.4570641
43;TIDE SETUBAL;-23.5013503;-46.4489145
44;NILDO DO AMARAL JUNIOR PADRE;-23.5050057;-46.4655903
45;NELLO LORENZON;-23.5121688;-46.4893521
46;SILVA PRADO DEPUTADO;-23.5156624;-46.5032633
47;THEREZA DOROTHEA DE ARRUDA REGO PROFESSORA;-23.5216161;-46.4882303
48;ANNETTE MARLENE FERNANDES DE MELLO IRMA;-23.4841375;-46.4964487
49;BENEDITA DE REZENDE PROFESSORA;-23.48569583978614;-46.48198302936089
50;ERMELINO MATARAZZO;-23.4928276952633;-46.4701584951065
51;FRANCISCO MESQUITA JORNALISTA;-23.48938032155819;-46.49271139549256
52;LEONOR RENDESI PROFESSORA;-23.49942;-46.4889952
53;PARQUE ECOLOGICO;-23.4818081;-46.4707894
54;PEDRO DE ALCANTARA MARCONDES MACHADO PROFESSOR;-23.5023228;-46.4763131
55;THEREZINHA ARANHA MANTELLI;-23.4999338;-46.47840050000002
56;AMADOR DOS SANTOS FERNANDES PROF;-23.518671420658926;-46.41300551109941
57;CLEISE MARISA SIQUEIRA PROFA;-23.516429513283448;-46.41386588954924
58;EUNICE MARQUES MOURA BASTOS PROFA;-23.516073676248585;-46.425384204347836
59;LUIS AMBRA DESEMBARGADOR;-23.521299247997376;-46.40506689444271
60;MARCELO TULMAN NETO;-23.503480500534927;-46.41714760450748
61;MARIA REGINA MACHADO DE CASTRO GUIMARAES PROFA;-23.51821475644081;-46.41924827976226
62;MARIA VERA LOMBARDI SIQUEIRA PROFA;-23.5009098;-46.4089515
63;PEDRO VIRIATO PARIGOT DE SOUZA ENGENHEIRO;-23.506154111913055;-46.42507317790984
64;SHINQUICHI AGARI;-23.501394613476204;-46.42155399503713
65;ARLINDO PINTO DA SILVA PROF;-23.5145687;-46.4388095
66;ASTROGILDO ARRUDA PROF;-23.50609130000001;-46.44602173558195
67;ATAULPHO ALVES;-23.502573659982243;-46.435439022615014
68;CARLOS GOMES;-23.4979765;-46.4446608
69;DARIO DE QUEIROZ PROF;-23.4945343;-46.433213300000034
70;JARDIM BEATRIZ;-23.52308173836346;-46.44149275012472
71;JOSE RIGHETTO SOBRINHO PROF;-23.5173242025803;-46.4327284304107
72;MANOEL DE NOBREGA DEPUTADO;-23.507195080775137;-46.43947854232789
73;PAULO KOBAYASHI;-23.4842;-46.4583
74;PEDRO MOREIRA MATOS PROF;-23.49066556111036;-46.44880151653285
75;CAETANO ZAMITTI MAMMANA PROF;-23.49057141984564;-46.42158217790984
76;FRANCISCO PEREIRA DE SOUZA FILHO PROF;-23.48264600729236;-46.430878542327946
77;HECKEL TAVARES;-23.4748984064745;-46.424754216007955
78;HENRIQUE SMITH BAYMA DR;-23.487280320128082;-46.410081167984
79;JOSE BONIFACIO ANDRADA E SILVA JARDIM PROF;-23.4794413;-46.38514709999998
80;MARIA DE LOURDES VIEIRA;-23.487490970127816;-46.43254999625162
81;MARIO KOZEL FILHO;-23.490385605276057;-46.407682364418065
82;MATTATHIAS GOMES DOS SANTOS REV;-23.485250018100704;-46.39280001508655
83;ARMANDO GOMES DE ARAUJO PROF;-23.501460164807778;-46.40041196287484
84;BERNARDO O'HIGGINS DOM;-23.514395214084917;-46.383696130896624
85;CELIA RIBEIRO LANDIM PROFA;-23.5088369;-46.38067430000001
86;CHARLES DE GAULLE;-23.509600892127327;-46.39819669814756
87;EDER BERNARDES DOS SANTOS SOLDADO PM;-23.50367540322042;-46.379955568122796
88;FRANCISCO PARENTE;-23.4846935;-46.38010889999998
89;JOAO BATISTA VILANOVA ARTIGAS PROF;-23.5058;-46.3828
90;JOAO DORIA DEPUTADO;-23.518834251888276;-46.38787772750857
91;JOAO PRADO MARGARIDO PROF;-23.49156114324402;-46.382924583081035
92;JOSE BUSTAMANTE DEPUTADO;-23.496502779537007;-46.37548706770633
93;LIVIO XAVIER;-23.510968025957677;-46.397298658895465
94;NEYDY DE CAMPOS MELGES PROF;-23.52035283675991;-46.384227477840454
95;PAULINA MADRE;-23.50665480103186;-46.37666982514861
96;PEDRO BRASIL BANDECCHI PROF;-23.51192268697712;-46.38405751041603
97;REPUBLICA DA GUATEMALA;-23.5095;-46.3822
98;REPUBLICA DO SURINAME;-23.511;-46.3973
99;SERGIO PAULO MUNIZ PIMENTA CAPITAO;-23.493978869106495;-46.38726446389313
100;UMBERTO LUIZ D URSO DR;-23.512289295394;-46.3884116466965
101;WILSON RACHID;-23.492273796750645;-46.39002904033657
